date,session_id,provider,model,input_tokens,output_tokens,cache_read,total_tokens
2026-03-22 23:22:42,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,124,3688,310404,3812
2026-03-22 23:22:58,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,105,18034,2887817,18139
2026-03-22 23:29:57,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,138,31124,4886232,31262
2026-03-22 23:34:24,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,156,47975,6166751,48131
2026-03-22 23:37:48,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,182,53062,6649499,53244
2026-03-22 23:38:53,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,193,54008,6894484,54201
2026-03-22 23:49:50,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,227,57490,8082613,57717
2026-03-23 10:17:10,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,235,58444,8152149,58679
2026-03-23 10:19:59,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,255,60409,8536208,60664
2026-03-23 10:35:49,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,297,77757,10703878,78054
2026-03-23 10:46:28,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,325,81825,12459909,82150
2026-03-23 11:00:38,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,352,88907,14149476,89259
2026-03-23 11:15:04,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,397,107844,15931236,108241
2026-03-23 12:14:01,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,6914,167028,34971120,173942
2026-03-23 12:15:39,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,6931,168580,36652303,175511
2026-03-23 12:16:43,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,6937,169118,36913587,176055
2026-03-23 12:19:56,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,6960,176920,39536626,183880
2026-03-23 12:27:05,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,13563,255304,55218740,268867
2026-03-23 12:31:01,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,13583,257790,55758273,271373
2026-03-26 11:07:22,8c02e4f0-1fb5-4cb2-bdbe-0ac5c8fcce5e,claude,claude-sonnet-4-6,8,2755,36674,2763
2026-03-26 12:02:53,8c02e4f0-1fb5-4cb2-bdbe-0ac5c8fcce5e,claude,claude-sonnet-4-6,67,18804,2507075,18871
2026-03-26 12:15:49,8c02e4f0-1fb5-4cb2-bdbe-0ac5c8fcce5e,claude,claude-sonnet-4-6,10441,31083,3186199,41524
